PGDP_ID;Provider_ID;Provider;Genus;Species;Origin;Sex
PD_0751;34375_BZ11018;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0752;16049_3114;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0753;16103_7001;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0754;16071_4001;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0755;16075_4005;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0756;16080_5004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0757;16082_5009;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0758;34424_BZ11072;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0759;34426_BZ11074;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0760;34427_BZ11075;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0761;16169_IK02;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0762;16170_IK03;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0763;15972_KZ01;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0764;15973_KZ03;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0765;15974_KZ04;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0766;15975_KZ05;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0767;15977_KZ07;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0768;15978_KZ08;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0769;15989_1005;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0770;16059_3124;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0771;16002_2004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0772;16006_2008;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
